"when","temperature","wind_speed","wind_dir","rel_humidity","pressure","solar_radiation","rainfall"
2015-01-01 00:00:00,-9.32,1.399,225.4,54.55,985,0,0
2015-01-01 00:10:00,-9.46,1.506,248.2,55.38,985,0,0
2015-01-01 00:20:00,-9.44,1.62,258.3,56.18,985,0,0
2015-01-01 00:30:00,-9.3,1.141,243.8,56.41,985,0,0
2015-01-01 00:40:00,-9.32,1.223,238.4,56.87,984,0,0
2015-01-01 00:50:00,-9.34,1.09,241.7,57.25,984,0,0
2015-01-01 01:00:00,-9.3,1.168,242.3,57.71,984,0,0
2015-01-01 01:10:00,-9.1,1.307,244.2,58.16,984,0,0
2015-01-01 01:20:00,-9.07,1.312,225.9,58.96,984,0,0
2015-01-01 01:30:00,-8.99,1.813,220,59.29,984,0,0
2015-01-01 01:40:00,-9.07,1.784,222.3,59.39,984,0,0
2015-01-01 01:50:00,-9.26,1.424,221.8,60,984,0,0
2015-01-01 02:00:00,-9.38,1.34,234.9,60.34,984,0,0
2015-01-01 02:10:00,-9.36,1.522,224.8,61.1,984,0,0
2015-01-01 02:20:00,-9.3,1.569,226.6,61.78,984,0,0
2015-01-01 02:30:00,-9.27,1.496,232.1,62.01,983,0,0
2015-01-01 02:40:00,-9.27,1.775,222.6,62.03,983,0,0
2015-01-01 02:50:00,-9.29,1.903,219.2,62.46,983,0,0
2015-01-01 03:00:00,-9.2,1.907,208.8,62.98,983,0,0
2015-01-01 03:10:00,-9.22,1.908,209.8,63.01,983,0,0
2015-01-01 03:20:00,-9.43,1.641,224.7,63.63,983,0,0
2015-01-01 03:30:00,-9.89,1.019,231.4,64.62,983,0,0
2015-01-01 03:40:00,-10.12,1.272,239,64.8,983,0,0
2015-01-01 03:50:00,-10.12,1.342,240.2,65.14,983,0,0
2015-01-01 04:00:00,-10.14,1.524,249.7,65.52,983,0,0
2015-01-01 04:10:00,-10.09,1.652,241.8,65.71,982,0,0
2015-01-01 04:20:00,-9.75,1.65,246.8,65.17,982,0,0
2015-01-01 04:30:00,-9.45,1.25,221.5,64.25,982,0,0
2015-01-01 04:40:00,-9.34,1.328,198.5,63.62,982,0,0
2015-01-01 04:50:00,-9.47,1.5,157.4,63.41,983,0,0
2015-01-01 05:00:00,-9.65,1.482,152.3,63.96,983,0,0
2015-01-01 05:10:00,-9.43,1.854,153,63.84,983,0,0
2015-01-01 05:20:00,-9.64,1.768,149.1,64.22,983,0,0
2015-01-01 05:30:00,-9.84,1.775,147.8,64.84,983,0,0
2015-01-01 05:40:00,-9.89,2.442,141.9,65.41,983,0,0
2015-01-01 05:50:00,-9.81,2.345,147.4,65.83,983,0,0
2015-01-01 06:00:00,-9.82,1.895,168.3,65.43,983,0,0
2015-01-01 06:10:00,-9.72,1.624,175.5,65.22,983,0,0
2015-01-01 06:20:00,-9.64,2.081,166.3,64.63,983,0,0
2015-01-01 06:30:00,-9.6,1.937,158.4,64.39,983,0,0
2015-01-01 06:40:00,-9.71,1.464,169.5,64.55,983,0,0
2015-01-01 06:50:00,-9.89,1.138,192.9,64.77,983,0,0
2015-01-01 07:00:00,-9.77,1.344,201.6,64.63,983,0,0
2015-01-01 07:10:00,-9.49,1.483,197.5,63.95,984,0,0
2015-01-01 07:20:00,-9.34,1.234,203.1,63.27,984,0.151,0
2015-01-01 07:30:00,-9.27,1.403,211.3,63.08,984,6.211,0
2015-01-01 07:40:00,-9,1.289,209,62.99,984,17.05,0
2015-01-01 07:50:00,-8.55,2.127,211.6,62.38,984,32.49,0
2015-01-01 08:00:00,-8.01,1.401,203,61.63,984,50.34,0
2015-01-01 08:10:00,-7.452,1.462,203.3,60.34,984,72.04,0
2015-01-01 08:20:00,-6.927,1.279,184.8,59.17,984,94.9,0
2015-01-01 08:30:00,-6.578,1.326,180.2,58.16,984,119.3,0
2015-01-01 08:40:00,-6.277,1.282,191,56.93,984,144.1,0
2015-01-01 08:50:00,-5.885,1.769,211.4,56.47,984,168.1,0
2015-01-01 09:00:00,-5.682,1.631,175.1,55.56,984,193.5,0
2015-01-01 09:10:00,-5.394,1.494,183.6,53.99,984,217.7,0
2015-01-01 09:20:00,-4.991,1.788,182.2,52.94,984,240.9,0
2015-01-01 09:30:00,-4.841,2.303,179.1,51.67,984,264.2,0
2015-01-01 09:40:00,-4.742,2.268,196.3,50.59,984,286.7,0
2015-01-01 09:50:00,-4.405,2.279,201.8,49.49,984,307.5,0
2015-01-01 10:00:00,-4.084,2.624,211.9,47.59,984,326.9,0
2015-01-01 10:10:00,-3.713,2.385,213.3,46.54,984,343.9,0
2015-01-01 10:20:00,-3.281,2.067,213.8,45.41,984,357.5,0
2015-01-01 10:30:00,-2.756,2.322,219.5,43.7,984,375.7,0
2015-01-01 10:40:00,-2.441,2.381,206.7,42.8,984,388.7,0
2015-01-01 10:50:00,-2.286,2.302,215.6,41.31,983,401.1,0
2015-01-01 11:00:00,-1.948,2.322,246.3,40.23,983,413.5,0
2015-01-01 11:10:00,-1.413,2.648,260.6,39.22,983,422.7,0
2015-01-01 11:20:00,-1.689,3.242,234.3,38.42,983,430.6,0
2015-01-01 11:30:00,-1.765,3.399,267.2,38.28,983,434.2,0
2015-01-01 11:40:00,-1.521,2.677,254.2,37.84,983,431.9,0
2015-01-01 11:50:00,-1.605,3.298,268.7,36.94,983,441.7,0
2015-01-01 12:00:00,-1.508,3.321,248.4,36.7,982,453.2,0
2015-01-01 12:10:00,-1.418,2.365,200.8,36.64,982,427.7,0
2015-01-01 12:20:00,-1.465,2.693,205.4,36.39,982,394.5,0
2015-01-01 12:30:00,-1.665,3.101,190.5,36.47,982,391.1,0
2015-01-01 12:40:00,-1.756,2.985,201.5,36.7,981,460,0
2015-01-01 12:50:00,-1.145,2.213,208.8,36,981,457.8,0
2015-01-01 13:00:00,-1.176,3.406,218.8,34.94,981,405.2,0
2015-01-01 13:10:00,-1.152,2.403,197.4,35.63,981,415.2,0
2015-01-01 13:20:00,-0.818,2.714,191.4,35.25,981,401.4,0
2015-01-01 13:30:00,-1.002,2.922,207.6,34.71,980,367.1,0
2015-01-01 13:40:00,-0.919,2.525,217.9,34.73,980,359.5,0
2015-01-01 13:50:00,-0.867,3.101,188.8,34.69,980,370.2,0
2015-01-01 14:00:00,-0.711,2.225,232,34.72,980,356.4,0
2015-01-01 14:10:00,-0.445,2.629,219.3,33.45,980,343.1,0
2015-01-01 14:20:00,-0.334,2.855,216.1,32.99,980,313.6,0
2015-01-01 14:30:00,-0.572,3.168,215.5,32.89,979,312.1,0
2015-01-01 14:40:00,-0.698,3.613,223.1,33.1,979,280.8,0
2015-01-01 14:50:00,-0.875,2.929,230,33.7,979,243.5,0
2015-01-01 15:00:00,-0.754,3.102,230.1,33.78,979,214.9,0
2015-01-01 15:10:00,-0.834,2.729,227.3,34.06,979,194.3,0
2015-01-01 15:20:00,-0.758,3.09,217.6,33.83,979,166.6,0
2015-01-01 15:30:00,-0.946,3.004,219.1,33.96,979,140.8,0
2015-01-01 15:40:00,-0.995,2.399,220.4,34.14,979,112.9,0
2015-01-01 15:50:00,-1.116,2.948,225.5,34.27,979,85.8,0
2015-01-01 16:00:00,-1.319,2.588,222.9,34.67,979,61.19,0
2015-01-01 16:10:00,-1.619,2.518,220.3,35.18,979,33.94,0
2015-01-01 16:20:00,-2.026,2.052,212.2,35.9,979,10.29,0
2015-01-01 16:30:00,-2.496,2.551,203.7,36.89,979,3.345,0
2015-01-01 16:40:00,-2.701,2.485,200.8,37.91,979,0.145,0
2015-01-01 16:50:00,-2.799,2.183,204.7,38.6,979,0,0
2015-01-01 17:00:00,-2.964,1.542,201.9,39.03,979,0,0
2015-01-01 17:10:00,-3.137,1.747,196.7,39.57,979,0,0
2015-01-01 17:20:00,-3.223,1.804,202.1,40.1,979,0,0
2015-01-01 17:30:00,-3.25,1.896,184.3,40.52,979,0,0
2015-01-01 17:40:00,-3.34,1.52,191.2,40.99,979,0,0
2015-01-01 17:50:00,-3.44,1.707,195.7,41.23,979,0,0
2015-01-01 18:00:00,-3.465,1.617,198.7,41.41,979,0,0
2015-01-01 18:10:00,-3.616,1.547,184.2,41.69,979,0,0
2015-01-01 18:20:00,-3.821,1.393,180.2,42.25,979,0,0
2015-01-01 18:30:00,-3.978,1.668,190.6,42.84,979,0,0
2015-01-01 18:40:00,-4.05,1.723,192.5,43.39,979,0,0
2015-01-01 18:50:00,-4.121,1.795,183.4,43.78,979,0,0
2015-01-01 19:00:00,-4.206,1.799,181.9,44.24,979,0,0
2015-01-01 19:10:00,-4.29,1.684,189.5,44.64,979,0,0
2015-01-01 19:20:00,-4.356,1.811,190.2,45.1,979,0,0
2015-01-01 19:30:00,-4.363,1.98,191.7,45.7,979,0,0
2015-01-01 19:40:00,-4.394,1.697,188.9,46.19,979,0,0
2015-01-01 19:50:00,-4.375,1.926,187.4,46.51,979,0,0
2015-01-01 20:00:00,-4.314,2.149,184.8,46.86,979,0,0
2015-01-01 20:10:00,-4.277,2.057,188.3,47.12,979,0,0
2015-01-01 20:20:00,-4.325,1.726,193.7,47.36,979,0,0
2015-01-01 20:30:00,-4.373,2.04,195.5,47.66,979,0,0
2015-01-01 20:40:00,-4.383,2.059,195.2,48.14,979,0,0
2015-01-01 20:50:00,-4.413,2.199,191.8,48.61,979,0,0
2015-01-01 21:00:00,-4.47,1.836,189.7,48.95,979,0,0
2015-01-01 21:10:00,-4.554,2.096,180.3,49.32,979,0,0
2015-01-01 21:20:00,-4.615,1.928,180.1,49.82,979,0,0
2015-01-01 21:30:00,-4.731,1.87,181.8,50.3,979,0,0
2015-01-01 21:40:00,-4.784,2.005,173.2,50.87,979,0,0
2015-01-01 21:50:00,-4.888,1.866,169.4,51.23,979,0,0
2015-01-01 22:00:00,-4.885,1.501,170.6,51.68,979,0,0
2015-01-01 22:10:00,-5.01,1.391,181.9,52.18,979,0,0
2015-01-01 22:20:00,-5.001,1.412,185.6,52.59,979,0,0
2015-01-01 22:30:00,-4.853,1.768,182.1,52.98,980,0,0
2015-01-01 22:40:00,-4.825,1.522,181.9,53.08,980,0,0
2015-01-01 22:50:00,-4.879,1.464,178.3,53.29,980,0,0
2015-01-01 23:00:00,-4.93,1.355,186.4,53.74,980,0,0
2015-01-01 23:10:00,-4.926,1.41,189.3,54.11,980,0,0
2015-01-01 23:20:00,-4.933,1.072,197.2,54.68,980,0,0
2015-01-01 23:30:00,-4.775,1.255,191,54.94,980,0,0
2015-01-01 23:40:00,-4.531,0.994,193.8,55.02,980,0,0
2015-01-01 23:50:00,-4.434,1.109,190.2,54.88,980,0,0
2015-01-02 00:00:00,-4.405,1.261,194.3,54.75,980,0,0
2015-01-02 00:10:00,-4.525,1.279,192.4,54.82,980,0,0
2015-01-02 00:20:00,-4.58,1.432,187.1,55.04,980,0,0
2015-01-02 00:30:00,-4.66,0.847,193.3,55.72,980,0,0
2015-01-02 00:40:00,-4.769,1,195.8,55.86,981,0,0
2015-01-02 00:50:00,-4.683,1.342,187,55.76,981,0,0
2015-01-02 01:00:00,-4.654,1.435,176.3,55.98,981,0,0
2015-01-02 01:10:00,-4.673,1.311,173.1,56.36,980,0,0
2015-01-02 01:20:00,-4.691,1.108,190.1,56.85,980,0,0
2015-01-02 01:30:00,-4.659,0.843,189.9,57.14,980,0,0
2015-01-02 01:40:00,-4.632,0.92,197,57.07,980,0,0
2015-01-02 01:50:00,-4.592,0.751,201.9,57.16,980,0,0
2015-01-02 02:00:00,-4.678,0.828,202.4,57.28,980,0,0
2015-01-02 02:10:00,-4.645,0.863,205.5,57.13,980,0,0
2015-01-02 02:20:00,-4.521,0.683,203,57.18,981,0,0
2015-01-02 02:30:00,-4.541,1.165,182.9,57.08,981,0,0
2015-01-02 02:40:00,-4.466,1.415,188.5,57.17,981,0,0
2015-01-02 02:50:00,-4.299,1.346,203,57.53,981,0,0
2015-01-02 03:00:00,-4.241,0.885,222.6,57.27,981,0,0
2015-01-02 03:10:00,-4.468,1.024,208,57.56,981,0,0
2015-01-02 03:20:00,-4.188,1.243,194.5,57.24,981,0,0
2015-01-02 03:30:00,-3.874,1.334,203,56.97,981,0,0
2015-01-02 03:40:00,-3.609,1.304,203,56.81,981,0,0
2015-01-02 03:50:00,-3.492,0.978,204,56.44,981,0,0
2015-01-02 04:00:00,-3.497,1.05,201.9,56.4,981,0,0
2015-01-02 04:10:00,-3.476,0.957,217.2,56.44,981,0,0
2015-01-02 04:20:00,-3.523,0.97,215.5,56.51,981,0,0
2015-01-02 04:30:00,-3.586,0.554,198.8,56.56,981,0,0
2015-01-02 04:40:00,-3.572,0.696,182.7,56.69,981,0,0
2015-01-02 04:50:00,-3.518,0.884,203.9,56.72,981,0,0
2015-01-02 05:00:00,-3.552,0.931,223,56.81,981,0,0
2015-01-02 05:10:00,-3.578,0.537,206.2,56.98,982,0,0
